,name,team,innings,ballsfaced,batting_sr,batting_avg,PaPP0,PaPPW,PaPP6,PaPP4,PaPP1,PaPPE,PaPP2,PaPP3,PaPP5,PaMO0,PaMOW,PaMO6,PaMO4,PaMO1,PaMOE,PaMO2,PaMO3,PaMO5,PaDO0,PaDOW,PaDO6,PaDO4,PaDO1,PaDOE,PaDO2,PaDO3,PaDO5,SpPP0,SpPPW,SpPP6,SpPP4,SpPP1,SpPPE,SpPP2,SpPP3,SpPP5,SpMO0,SpMOW,SpMO6,SpMO4,SpMO1,SpMOE,SpMO2,SpMO3,SpMO5,SpDO0,SpDOW,SpDO6,SpDO4,SpDO1,SpDOE,SpDO2,SpDO3,SpDO5,type
226,M Labuschagne,Australia,1,4,50.0,2.0,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 446,451 - 534,-,-,535 - 622,623 - 666,-,-,-,411 - 446,451 - 534,-,-,535 - 622,623 - 666,-,-,-,411 - 446,451 - 534,-,-,535 - 622,623 - 666,-,-,-,
227,M Pathirana,Sri Lanka,1,12,41.67,5.0,411 - 646,651 - 652,-,-,653 - 664,-,665 - 666,-,-,411 - 646,651 - 652,-,-,653 - 664,-,665 - 666,-,-,411 - 646,651 - 652,-,-,653 - 664,-,665 - 666,-,-,411 - 646,651 - 652,-,-,653 - 664,-,665 - 666,-,-,411 - 646,651 - 652,-,-,653 - 664,-,665 - 666,-,-,411 - 646,651 - 652,-,-,653 - 664,-,665 - 666,-,-,
228,M Shumba,Zimbabwe,17,244,106.15,18.5,411 - 666,-,-,-,-,-,-,-,-,411 - 525,526 - 542,543 - 543,544 - 546,551 - 646,651 - 655,656 - 666,-,-,411 - 436,441 - 442,443 - 462,463 - 522,523 - 624,625 - 643,644 - 666,-,-,411 - 654,-,-,-,655 - 666,-,-,-,-,411 - 512,513 - 521,522 - 523,524 - 533,534 - 656,661 - 663,664 - 666,-,-,-,411 - 466,-,-,511 - 566,-,611 - 666,-,-,Batter
229,M Theekshana,Sri Lanka,9,30,103.33,7.75,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 536,541 - 551,552 - 562,563 - 566,611 - 651,652 - 655,656 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 434,435 - 552,-,-,-,553 - 631,632 - 666,-,-,Bowler
230,M van Lingen,Namibia,10,160,104.38,16.7,411 - 523,524 - 534,535 - 535,536 - 556,561 - 644,645 - 656,661 - 665,666 - 666,-,411 - 425,426 - 436,441 - 451,452 - 513,514 - 622,623 - 644,645 - 666,-,-,411 - 425,426 - 436,441 - 451,452 - 513,514 - 622,623 - 644,645 - 666,-,-,411 - 445,446 - 461,462 - 465,466 - 526,531 - 616,621 - 633,634 - 662,663 - 666,-,411 - 512,513 - 521,-,522 - 526,531 - 642,643 - 661,662 - 666,-,-,411 - 512,513 - 521,-,522 - 526,531 - 642,643 - 661,662 - 666,-,-,Allrounder
231,MA Jones,Scotland,3,73,136.99,33.33,411 - 554,-,-,555 - 612,613 - 663,-,664 - 666,-,-,-,411 - 422,423 - 445,-,446 - 563,564 - 642,643 - 666,-,-,-,411 - 432,-,433 - 453,454 - 536,541 - 562,563 - 666,-,-,411 - 433,434 - 453,-,454 - 532,533 - 646,-,651 - 666,-,-,-,-,411 - 422,423 - 461,462 - 654,-,655 - 666,-,-,-,411 - 432,-,433 - 453,454 - 536,541 - 562,563 - 666,-,-,Batter
232,MA Leask,Scotland,14,173,126.59,16.85,411 - 666,-,-,-,-,-,-,-,-,411 - 435,436 - 443,444 - 453,454 - 516,521 - 656,661 - 662,663 - 666,-,-,411 - 442,443 - 454,455 - 466,511 - 522,523 - 616,621 - 643,644 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 465,466 - 522,-,523 - 533,534 - 641,642 - 652,653 - 666,-,-,411 - 414,415 - 513,514 - 542,543 - 641,-,-,642 - 666,-,-,Allrounder
233,MA Starc,Australia,8,60,110.0,16.5,411 - 661,662 - 663,-,-,664 - 666,-,-,-,-,411 - 661,662 - 663,-,-,664 - 666,-,-,-,-,411 - 446,451 - 461,462 - 463,464 - 516,521 - 621,622 - 634,635 - 664,665 - 666,-,411 - 431,-,-,-,432 - 666,-,-,-,-,411 - 431,-,-,-,432 - 666,-,-,-,-,411 - 545,-,-,-,546 - 666,-,-,-,-,Bowler
234,MA Wood,England,1,1,100.0,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,Bowler
235,MC Henriques,Australia,10,123,109.76,16.88,411 - 516,-,521 - 554,-,555 - 666,-,-,-,-,411 - 431,432 - 452,453 - 456,461 - 513,514 - 645,646 - 662,663 - 666,-,-,411 - 463,464 - 515,516 - 531,-,532 - 543,544 - 625,626 - 654,655 - 666,-,-,411 - 444,-,445 - 555,556 - 666,-,-,-,-,411 - 512,513 - 516,521 - 523,524 - 531,532 - 646,651 - 656,661 - 666,-,-,411 - 523,-,-,-,524 - 666,-,-,-,-,
236,MD Gunathilaka,Sri Lanka,22,227,118.06,12.76,411 - 456,461 - 514,515 - 522,523 - 545,546 - 642,643 - 661,662 - 666,-,-,411 - 523,524 - 536,541 - 544,545 - 561,562 - 644,645 - 653,654 - 666,-,-,-,411 - 466,-,511 - 566,611 - 666,-,-,-,-,411 - 465,466 - 524,-,525 - 536,541 - 653,-,654 - 663,664 - 666,-,411 - 424,425 - 436,441 - 455,456 - 514,515 - 631,632 - 641,642 - 666,-,-,-,411 - 466,-,511 - 566,611 - 666,-,-,-,-,Allrounder
237,MD Shanaka,Sri Lanka,34,547,124.31,26.15,411 - 554,555 - 632,-,-,633 - 666,-,-,-,-,411 - 544,545 - 546,551 - 553,554 - 565,566 - 652,653 - 661,662 - 666,-,-,411 - 435,436 - 451,452 - 513,514 - 543,544 - 631,632 - 651,652 - 666,-,-,411 - 554,555 - 632,-,-,633 - 666,-,-,-,-,411 - 516,521 - 524,525 - 526,531 - 532,533 - 654,655 - 661,662 - 666,-,-,411 - 455,456 - 465,-,466 - 525,526 - 656,661 - 663,664 - 666,-,-,Allrounder c
238,MDKJ Perera,Sri Lanka,13,216,113.89,18.92,411 - 436,441 - 444,445 - 446,451 - 521,522 - 631,632 - 643,644 - 665,666 - 666,-,411 - 424,425 - 432,433 - 444,445 - 456,461 - 633,634 - 645,646 - 666,-,-,411 - 424,425 - 432,433 - 444,445 - 456,461 - 633,634 - 645,646 - 666,-,-,411 - 463,464 - 532,-,533 - 536,541 - 646,651 - 654,655 - 666,-,-,411 - 416,421 - 434,-,-,435 - 636,641 - 652,653 - 666,-,-,411 - 416,421 - 434,-,-,435 - 636,641 - 652,653 - 666,-,-,
239,MG Bracewell,New Zealand,7,48,187.5,30.0,411 - 423,-,-,424 - 531,532 - 666,-,-,-,-,411 - 423,-,-,424 - 531,532 - 666,-,-,-,-,-,411 - 425,426 - 444,445 - 525,526 - 551,552 - 651,652 - 662,663 - 666,-,411 - 446,-,451 - 463,-,464 - 622,623 - 653,654 - 666,-,-,411 - 446,-,451 - 463,-,464 - 622,623 - 653,654 - 666,-,-,-,-,-,411 - 453,454 - 536,-,541 - 666,-,-,Allrounder
240,MG Erasmus,Namibia,18,340,107.06,24.27,411 - 633,-,-,-,634 - 661,662 - 663,664 - 666,-,-,411 - 446,451 - 454,-,455 - 513,514 - 635,636 - 643,644 - 663,664 - 666,-,411 - 421,422 - 441,-,442 - 461,462 - 646,651 - 654,655 - 666,-,-,411 - 643,-,-,644 - 651,652 - 662,-,663 - 666,-,-,411 - 456,461 - 465,466 - 512,513 - 521,522 - 643,644 - 652,653 - 666,-,-,-,-,411 - 432,433 - 453,454 - 561,-,562 - 666,-,-,Allrounder c
241,MH Cross,Scotland,13,189,87.83,13.83,411 - 551,552 - 555,-,556 - 625,626 - 651,652 - 664,665 - 665,666 - 666,-,411 - 534,535 - 555,-,556 - 561,562 - 656,661 - 664,665 - 666,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,411 - 631,-,-,-,632 - 666,-,-,-,-,411 - 453,454 - 456,461 - 462,463 - 511,512 - 652,653 - 655,656 - 666,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,Batter
242,MJ Guptill,New Zealand,28,653,138.74,32.36,411 - 513,514 - 516,521 - 531,532 - 554,555 - 652,653 - 661,662 - 666,-,-,411 - 422,423 - 434,435 - 456,461 - 516,521 - 643,644 - 644,645 - 666,-,-,-,411 - 436,441 - 523,-,524 - 566,611 - 653,654 - 666,-,-,411 - 523,524 - 526,531 - 542,543 - 561,562 - 655,656 - 656,661 - 666,-,-,411 - 444,445 - 453,454 - 463,464 - 516,521 - 654,655 - 662,663 - 666,-,-,-,-,-,-,411 - 536,541 - 666,-,-,-,Batter
243,MJ Santner,New Zealand,14,104,129.81,22.5,411 - 436,-,-,441 - 523,524 - 666,-,-,-,-,411 - 634,635 - 636,641 - 643,644 - 652,653 - 664,-,665 - 666,-,-,411 - 432,433 - 445,-,446 - 455,456 - 566,611 - 633,634 - 666,-,-,411 - 554,-,555 - 611,612 - 666,-,-,-,-,-,411 - 423,424 - 442,443 - 461,462 - 516,521 - 651,-,652 - 661,662 - 666,-,411 - 545,-,-,-,546 - 642,-,643 - 666,-,-,Allrounder
244,MJ Swepson,Australia,3,14,114.29,16.0,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 546,551 - 564,-,-,565 - 622,623 - 653,654 - 666,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 523,-,524 - 551,-,552 - 615,-,616 - 666,-,-,
245,MM Ali,England,25,376,155.05,30.68,411 - 511,512 - 524,-,525 - 564,565 - 652,653 - 666,-,-,-,411 - 436,441 - 444,445 - 452,453 - 512,513 - 632,633 - 653,654 - 665,666 - 666,-,411 - 453,454 - 462,463 - 535,536 - 546,551 - 634,635 - 655,656 - 666,-,-,-,-,-,411 - 425,426 - 555,556 - 633,634 - 666,-,-,411 - 433,434 - 442,443 - 454,455 - 514,515 - 644,645 - 656,661 - 666,-,-,411 - 542,543 - 563,564 - 613,614 - 624,625 - 645,-,646 - 666,-,-,Allrounder
246,MP O'Dowd,Netherlands,9,236,112.29,29.44,411 - 533,534 - 542,543 - 544,545 - 555,556 - 641,642 - 646,651 - 664,665 - 666,-,411 - 425,426 - 432,-,433 - 455,456 - 645,646 - 661,662 - 666,-,-,411 - 533,534 - 551,552 - 556,561 - 622,623 - 661,662 - 666,-,-,-,411 - 465,466 - 513,514 - 521,522 - 542,543 - 642,643 - 653,654 - 666,-,-,411 - 466,511 - 512,513 - 514,515 - 532,533 - 653,654 - 655,656 - 663,664 - 666,-,411 - 565,-,566 - 615,-,616 - 635,636 - 666,-,-,-,Batter
247,MP Stoinis,Australia,20,281,159.07,34.38,411 - 524,-,525 - 541,-,542 - 636,641 - 666,-,-,-,411 - 445,446 - 456,461 - 464,465 - 532,533 - 634,635 - 651,652 - 666,-,-,411 - 442,443 - 446,451 - 462,463 - 532,533 - 642,643 - 654,655 - 666,-,-,-,-,-,411 - 666,-,-,-,-,-,411 - 445,446 - 453,454 - 511,512 - 534,535 - 646,651 - 655,656 - 665,666 - 666,-,-,411 - 536,-,-,541 - 666,-,-,-,-,Allrounder
248,MR Adair,Ireland,19,175,119.43,16.08,411 - 553,554 - 566,611 - 612,613 - 616,621 - 653,654 - 655,656 - 666,-,-,411 - 553,554 - 566,611 - 612,613 - 616,621 - 653,654 - 655,656 - 666,-,-,411 - 463,464 - 466,511 - 523,524 - 541,542 - 645,646 - 655,656 - 665,666 - 666,-,411 - 531,532 - 542,543 - 543,544 - 561,562 - 644,645 - 656,661 - 666,-,-,411 - 531,532 - 542,543 - 543,544 - 561,562 - 644,645 - 656,661 - 666,-,-,411 - 453,454 - 536,-,-,541 - 623,624 - 645,646 - 666,-,-,Allrounder
249,MR Marsh,Australia,25,546,131.68,31.26,411 - 464,465 - 466,511 - 522,523 - 553,554 - 636,641 - 661,662 - 666,-,-,411 - 461,462 - 463,464 - 511,512 - 533,534 - 636,641 - 653,654 - 666,-,-,411 - 424,425 - 442,443 - 453,454 - 464,465 - 626,631 - 652,653 - 663,664 - 666,-,411 - 532,533 - 535,536 - 536,541 - 563,564 - 655,-,656 - 666,-,-,411 - 436,441 - 451,452 - 461,462 - 513,514 - 653,654 - 656,661 - 666,-,-,411 - 545,546 - 642,-,-,643 - 666,-,-,-,-,Allrounder
250,MRJ Watt,Scotland,8,70,115.71,13.5,-,-,-,411 - 444,445 - 555,-,556 - 666,-,-,-,-,-,411 - 444,445 - 555,-,556 - 666,-,-,411 - 446,451 - 514,-,515 - 524,525 - 642,643 - 656,661 - 666,-,-,411 - 511,512 - 514,-,515 - 535,536 - 642,643 - 645,646 - 666,-,-,411 - 511,512 - 514,-,515 - 535,536 - 642,643 - 645,646 - 666,-,-,-,-,-,411 - 566,611 - 666,-,-,-,-,Bowler
251,MS Chapman,New Zealand,10,171,147.37,28.0,411 - 561,-,562 - 612,613 - 625,626 - 644,645 - 655,656 - 666,-,-,411 - 416,-,421 - 425,426 - 451,452 - 631,632 - 636,641 - 666,-,-,411 - 524,525 - 553,-,554 - 612,613 - 651,-,652 - 666,-,-,411 - 511,512 - 522,-,523 - 555,556 - 633,634 - 644,645 - 666,-,-,411 - 444,445 - 454,455 - 513,514 - 534,535 - 651,652 - 654,655 - 666,-,-,-,411 - 536,541 - 666,-,-,-,-,-,-,Allrounder
252,MS Wade,Australia,30,412,138.83,27.24,411 - 435,436 - 452,453 - 465,466 - 534,535 - 633,634 - 651,652 - 662,663 - 666,-,411 - 452,453 - 456,461 - 466,511 - 535,536 - 651,652 - 655,656 - 666,-,-,411 - 424,425 - 432,433 - 451,452 - 516,521 - 614,615 - 634,635 - 665,666 - 666,-,411 - 611,612 - 616,621 - 623,624 - 626,631 - 655,656 - 661,662 - 666,-,-,411 - 524,525 - 532,533 - 533,534 - 536,541 - 654,655 - 655,656 - 666,-,-,-,-,-,411 - 433,434 - 643,-,644 - 666,-,-,WK Batter
253,MW Parkinson,England,4,11,45.45,1.25,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 512,513 - 611,-,612 - 624,625 - 641,642 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 512,513 - 611,-,612 - 624,625 - 641,642 - 666,-,-,-,
254,Mahedi Hasan,Bangladesh,24,216,108.33,11.7,411 - 613,-,-,614 - 622,623 - 645,646 - 654,655 - 666,-,-,411 - 552,553 - 554,555 - 556,561 - 562,563 - 642,643 - 662,663 - 666,-,-,411 - 423,424 - 446,451 - 461,462 - 516,521 - 643,644 - 651,652 - 666,-,-,-,411 - 442,-,443 - 464,465 - 612,613 - 644,645 - 666,-,-,411 - 516,521 - 541,542 - 544,545 - 556,561 - 652,653 - 654,655 - 666,-,-,411 - 523,-,524 - 533,534 - 543,544 - 656,661 - 666,-,-,-,
255,Mahmudullah,Bangladesh,32,568,101.94,20.68,411 - 512,513 - 516,521 - 524,525 - 544,545 - 623,624 - 654,655 - 666,-,-,411 - 522,523 - 531,532 - 532,533 - 541,542 - 644,645 - 654,655 - 665,666 - 666,-,411 - 434,435 - 443,444 - 453,454 - 515,516 - 623,624 - 642,643 - 666,-,-,411 - 554,-,-,-,555 - 643,644 - 655,656 - 666,-,-,411 - 522,523 - 526,531 - 532,533 - 541,542 - 645,646 - 652,653 - 666,-,-,411 - 512,513 - 526,-,531 - 544,545 - 652,653 - 661,662 - 666,-,-,
256,Mehedi Hasan Miraz,Bangladesh,5,92,119.57,22.0,411 - 515,516 - 525,526 - 533,534 - 555,556 - 634,635 - 652,653 - 662,663 - 666,-,-,411 - 433,-,434 - 524,525 - 642,-,643 - 666,-,-,-,411 - 433,-,434 - 524,525 - 642,-,643 - 666,-,-,411 - 462,-,463 - 513,514 - 524,525 - 644,-,645 - 655,656 - 666,-,411 - 434,435 - 446,-,-,451 - 641,642 - 653,-,654 - 666,-,411 - 434,435 - 446,-,-,451 - 641,642 - 653,-,654 - 666,-,Allrounder
257,Mohammad Boota,United Arab Emirates,1,5,120.0,-,-,-,-,-,411 - 521,522 - 555,556 - 666,-,-,-,-,-,-,411 - 521,522 - 555,556 - 666,-,-,-,-,-,-,411 - 521,522 - 555,556 - 666,-,-,-,-,-,-,411 - 521,522 - 555,556 - 666,-,-,-,-,-,-,411 - 521,522 - 555,556 - 666,-,-,-,-,-,-,411 - 521,522 - 555,556 - 666,-,-,
258,Mohammad Hafeez,Pakistan,14,145,131.72,15.92,411 - 454,-,-,455 - 562,563 - 666,-,-,-,-,411 - 424,425 - 432,433 - 444,445 - 533,534 - 642,-,643 - 666,-,-,411 - 442,443 - 453,454 - 512,513 - 542,543 - 641,-,642 - 666,-,-,411 - 631,-,-,632 - 651,652 - 666,-,-,-,-,411 - 456,461 - 521,-,522 - 531,532 - 655,656 - 656,661 - 666,-,-,411 - 442,443 - 453,454 - 512,513 - 542,543 - 641,-,642 - 666,-,-,
259,Mohammad Haris,Pakistan,1,8,87.5,7.0,411 - 641,642 - 651,652 - 661,-,662 - 666,-,-,-,-,411 - 641,642 - 651,652 - 661,-,662 - 666,-,-,-,-,411 - 641,642 - 651,652 - 661,-,662 - 666,-,-,-,-,411 - 641,642 - 651,652 - 661,-,662 - 666,-,-,-,-,411 - 641,642 - 651,652 - 661,-,662 - 666,-,-,-,-,411 - 641,642 - 651,652 - 661,-,662 - 666,-,-,-,-,
260,Mohammad Hasnain,Pakistan,5,14,135.71,-,411 - 542,-,543 - 552,553 - 562,563 - 651,-,652 - 666,-,-,411 - 542,-,543 - 552,553 - 562,563 - 651,-,652 - 666,-,-,411 - 542,-,543 - 552,553 - 562,563 - 651,-,652 - 666,-,-,411 - 542,-,543 - 552,553 - 562,563 - 651,-,652 - 666,-,-,411 - 542,-,543 - 552,553 - 562,563 - 651,-,652 - 666,-,-,411 - 542,-,543 - 552,553 - 562,563 - 651,-,652 - 666,-,-,Bowler
261,Mohammad Mithun,Bangladesh,2,8,62.5,2.5,411 - 554,-,-,-,555 - 632,-,633 - 666,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,-,411 - 536,-,-,541 - 666,-,-,-,-,
262,Mohammad Nabi,Afghanistan,21,261,122.61,20.0,411 - 542,543 - 565,-,566 - 643,-,644 - 655,-,656 - 666,-,411 - 522,523 - 532,-,533 - 544,545 - 654,655 - 661,662 - 666,-,-,411 - 443,444 - 454,455 - 465,466 - 542,543 - 634,635 - 654,655 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 515,516 - 522,523 - 526,531 - 531,532 - 646,651 - 651,652 - 665,666 - 666,-,-,411 - 436,-,-,441 - 666,-,-,-,-,Allrounder c
263,Mohammad Naim,Bangladesh,27,549,96.36,19.59,411 - 531,532 - 535,536 - 541,542 - 562,563 - 651,652 - 656,661 - 666,-,-,411 - 515,516 - 523,-,524 - 541,542 - 645,646 - 652,653 - 665,666 - 666,-,-,411 - 436,-,441 - 453,454 - 623,-,624 - 666,-,-,411 - 534,535 - 542,543 - 544,545 - 552,553 - 653,654 - 656,661 - 666,-,-,411 - 463,464 - 512,513 - 514,515 - 521,522 - 646,651 - 653,654 - 665,666 - 666,-,411 - 523,524 - 615,-,-,616 - 666,-,-,-,-,
264,Mohammad Nawaz (3),Pakistan,27,239,142.26,20.0,411 - 534,535 - 543,544 - 544,545 - 564,565 - 645,646 - 654,655 - 666,-,-,411 - 534,535 - 543,544 - 544,545 - 564,565 - 645,646 - 654,655 - 666,-,-,411 - 445,446 - 463,464 - 516,521 - 535,536 - 625,626 - 645,646 - 666,-,-,411 - 513,514 - 515,516 - 532,533 - 551,552 - 651,-,652 - 666,-,-,411 - 513,514 - 515,516 - 532,533 - 551,552 - 651,-,652 - 666,-,-,411 - 514,515 - 526,531 - 553,554 - 565,566 - 655,656 - 666,-,-,-,Allrounder
265,Mohammad Rizwan,Pakistan,43,1571,130.55,60.32,411 - 466,511 - 511,512 - 515,516 - 542,543 - 646,651 - 661,662 - 666,-,-,-,411 - 413,414 - 421,422 - 435,436 - 623,624 - 635,636 - 666,-,-,411 - 412,413 - 421,422 - 435,436 - 466,511 - 616,621 - 634,635 - 665,666 - 666,-,411 - 524,525 - 531,532 - 535,536 - 552,553 - 653,654 - 661,662 - 665,666 - 666,-,411 - 432,433 - 434,435 - 441,442 - 455,456 - 651,652 - 654,655 - 666,-,-,-,411 - 453,454 - 536,-,541 - 666,-,-,-,-,WK Batter
266,Mohammad Saifuddin,Bangladesh,7,74,98.65,24.33,411 - 453,454 - 462,463 - 511,-,512 - 642,643 - 661,662 - 666,-,-,411 - 453,454 - 462,463 - 511,-,512 - 642,643 - 661,662 - 666,-,-,411 - 543,544 - 545,546 - 551,552 - 565,566 - 655,656 - 661,662 - 666,-,-,411 - 563,564 - 566,-,611 - 616,621 - 653,654 - 663,664 - 666,-,-,411 - 563,564 - 566,-,611 - 616,621 - 653,654 - 663,664 - 666,-,-,411 - 543,544 - 545,546 - 551,552 - 565,566 - 655,656 - 661,662 - 666,-,-,
267,Mohammad Shahzad,Afghanistan,5,72,109.72,15.8,411 - 534,535 - 551,552 - 553,554 - 612,613 - 662,663 - 664,665 - 666,-,-,-,411 - 433,-,434 - 461,462 - 643,-,644 - 666,-,-,-,411 - 433,-,434 - 461,462 - 643,-,644 - 666,-,-,-,-,411 - 444,-,445 - 632,633 - 666,-,-,-,411 - 542,-,543 - 552,553 - 562,563 - 656,-,661 - 666,-,-,411 - 542,-,543 - 552,553 - 562,563 - 656,-,661 - 666,-,-,WK Batter
268,Mohammad Wasim,Pakistan,6,24,83.33,10.0,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 536,541 - 551,-,552 - 566,611 - 655,656 - 666,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 536,541 - 551,-,552 - 566,611 - 655,656 - 666,-,-,-,Allrounder
269,Mohammed Siraj,India,1,7,71.43,5.0,411 - 656,661 - 662,-,663 - 664,665 - 666,-,-,-,-,411 - 656,661 - 662,-,663 - 664,665 - 666,-,-,-,-,411 - 656,661 - 662,-,663 - 664,665 - 666,-,-,-,-,411 - 656,661 - 662,-,663 - 664,665 - 666,-,-,-,-,411 - 656,661 - 662,-,663 - 664,665 - 666,-,-,-,-,411 - 656,661 - 662,-,663 - 664,665 - 666,-,-,-,-,
270,Mosaddek Hossain,Bangladesh,13,128,131.25,18.67,-,-,411 - 466,-,511 - 666,-,-,-,-,411 - 425,426 - 443,-,444 - 452,453 - 643,644 - 661,662 - 666,-,-,411 - 426,431 - 436,441 - 442,443 - 465,466 - 631,632 - 651,652 - 666,-,-,-,-,411 - 466,-,511 - 666,-,-,-,-,411 - 455,456 - 511,512 - 516,521 - 532,533 - 651,-,652 - 666,-,-,-,411 - 426,-,431 - 466,511 - 626,-,631 - 666,-,-,Batter
271,Muhammad Usman,United Arab Emirates,4,109,96.33,26.25,411 - 515,516 - 521,522 - 523,524 - 533,534 - 642,643 - 654,655 - 666,-,-,411 - 515,516 - 521,522 - 523,524 - 533,534 - 642,643 - 654,655 - 666,-,-,411 - 444,445 - 522,523 - 541,-,542 - 633,634 - 651,652 - 666,-,-,411 - 544,-,545 - 546,551 - 556,561 - 664,665 - 666,-,-,-,411 - 544,-,545 - 546,551 - 556,561 - 664,665 - 666,-,-,-,-,411 - 536,-,-,-,541 - 666,-,-,-,
272,Mujeeb Ur Rahman,Afghanistan,4,20,115.0,11.5,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,411 - 546,551 - 564,-,565 - 622,623 - 653,654 - 666,-,-,-,411 - 663,-,664 - 664,665 - 665,666 - 666,-,-,-,-,411 - 663,-,664 - 664,665 - 665,666 - 666,-,-,-,-,-,411 - 466,-,511 - 566,-,611 - 666,-,-,-,Bowler
273,Munim Shahriar,Bangladesh,5,47,72.34,6.8,411 - 532,533 - 536,-,541 - 544,545 - 623,624 - 661,662 - 666,-,-,411 - 532,533 - 536,-,541 - 544,545 - 623,624 - 661,662 - 666,-,-,411 - 532,533 - 536,-,541 - 544,545 - 623,624 - 661,662 - 666,-,-,411 - 546,551 - 612,-,613 - 634,635 - 663,-,664 - 666,-,-,411 - 546,551 - 612,-,613 - 634,635 - 663,-,664 - 666,-,-,411 - 546,551 - 612,-,613 - 634,635 - 663,-,664 - 666,-,-,
274,Mushfiqur Rahim,Bangladesh,14,223,92.83,18.82,411 - 642,643 - 644,-,-,645 - 664,665 - 666,-,-,-,411 - 434,435 - 441,442 - 443,444 - 461,462 - 633,634 - 653,654 - 666,-,-,411 - 452,453 - 461,-,462 - 523,524 - 645,646 - 662,663 - 666,-,-,411 - 541,542 - 553,-,554 - 561,562 - 654,655 - 666,-,-,-,411 - 523,524 - 532,533 - 535,536 - 544,545 - 655,656 - 661,662 - 666,-,-,411 - 452,453 - 461,-,462 - 523,524 - 645,646 - 662,663 - 666,-,-,
275,Mustafizur Rahman,Bangladesh,6,27,51.85,3.5,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 544,545 - 564,-,-,565 - 641,642 - 653,654 - 661,662 - 666,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,411 - 544,545 - 564,-,-,565 - 641,642 - 653,654 - 661,662 - 666,-,Bowler
276,N Dickwella,Sri Lanka,4,57,89.47,12.75,411 - 554,-,-,555 - 622,623 - 656,-,661 - 666,-,-,411 - 526,531 - 545,546 - 553,-,554 - 644,645 - 666,-,-,-,411 - 526,531 - 545,546 - 553,-,554 - 644,645 - 666,-,-,-,411 - 416,421 - 434,-,435 - 452,453 - 634,-,635 - 666,-,-,-,-,-,-,411 - 566,-,611 - 666,-,-,-,-,-,-,411 - 566,-,611 - 666,-,-,
277,N Pooran,West Indies,42,801,131.34,28.43,411 - 533,534 - 535,536 - 546,551 - 613,614 - 644,645 - 663,664 - 666,-,-,411 - 465,466 - 512,513 - 522,523 - 536,541 - 644,645 - 661,662 - 666,-,-,411 - 442,443 - 462,463 - 525,526 - 543,544 - 643,644 - 655,656 - 666,-,-,411 - 461,462 - 522,523 - 545,546 - 566,611 - 645,646 - 652,653 - 664,665 - 666,-,411 - 515,516 - 523,524 - 532,533 - 541,542 - 653,654 - 663,664 - 666,-,-,-,411 - 416,421 - 512,513 - 533,534 - 645,646 - 666,-,-,-,WK Batter c
278,N Rana,India,2,27,55.56,7.5,411 - 424,-,-,-,425 - 666,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 424,425 - 452,-,-,453 - 613,614 - 641,642 - 666,-,-,411 - 424,-,-,-,425 - 666,-,-,-,-,411 - 653,-,-,-,654 - 666,-,-,-,-,411 - 423,-,-,-,424 - 562,563 - 666,-,-,-,
279,N Thushara,Sri Lanka,2,4,50.0,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,411 - 666,-,-,-,-,-,-,-,-,
